ICB_NAME,Drug_Category,Total_Items,Total_Quantity,Total_Cost
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,Anxiolytic,36387,992539.0,220060.74651
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,Anxiolytic,35423,1204364.0,189036.21445
NHS DEVON INTEGRATED CARE BOARD,Anxiolytic,35419,1116826.0,158252.20306
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,Anxiolytic,29480,858136.0,202304.51504
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,Anxiolytic,28809,754434.0,101698.14157
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,Anxiolytic,28416,907032.0,200968.6618
NHS BLACK COUNTRY INTEGRATED CARE BOARD,Anxiolytic,27456,916047.0,188313.86442
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,Anxiolytic,27197,872879.0,181305.35080000001
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,Anxiolytic,26608,781363.0,188532.56888
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,Anxiolytic,26450,860398.0,149681.22558
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,Anxiolytic,26377,880927.0,173988.30336
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,Anxiolytic,25999,703996.0,130912.72447
NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,Anxiolytic,25969,835058.0,117391.91689
NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,Anxiolytic,25382,823539.0,132600.1625
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",Anxiolytic,24917,812800.0,194314.63391
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,Anxiolytic,24002,775734.0,191477.02567
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",Anxiolytic,23558,824282.0,175190.48062
NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,Anxiolytic,23509,768010.0,221922.87972
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,Anxiolytic,23067,710803.0,137082.43177
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,Anxiolytic,21913,760006.0,125129.57255
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,Anxiolytic,21634,795842.0,201081.00052
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,Anxiolytic,21374,748000.0,100781.58711
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,Anxiolytic,20918,640217.0,164499.48179
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",Anxiolytic,20516,683305.0,127284.48514
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,Anxiolytic,20076,652704.0,135792.27213
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",Anxiolytic,18363,497281.0,72709.92974
