VariableA,Estimated_Mean_RTT
Not stated/Not known/Invalid,35.760544764969545
Other Mental Health problems,35.09423841059603
Medically Unexplained Symptoms,34.84826589595376
Other recorded problems,34.83554054054054
Anxiety and stress related disorders,34.82550563673055
Depression,34.661655114909586
All ADSM,34.658629829290206
