Column,Missing_Count,Missing_Percent
Mean_ApptsHighIntensityCognitiveBehaviouralTherapistQualified,85859,93.18623354352758
Mean_ApptsPsychologicalWellBeingPractitionerQualified,85223,92.49595710735102
Count_IntegratedReferralsNotAtCaseness,84962,92.2126832868446
Count_IntegratedReferralsDeterioration,83474,90.59769690786547
Percentage_IntegratedReferralsDeterioration,83474,90.59769690786547
Count_FinishedCourseTreatmentByInitialCasenessStatus,83275,90.38171418648318
Mean_ApptsFinishedCourseTreatment_therapist,82809,89.87594560274374
SD_End,82337,89.36366497715359
Mean_End,82337,89.36366497715359
EffectSize,82337,89.36366497715359
SD_Start,82337,89.36366497715359
Mean_Start,82335,89.36149429653668
Count_IntegratedReferralsNoChange,78050,84.71081107481251
Percentage_IntegratedReferralsNoChange,78050,84.71081107481251
Mean_ContactTimeIETReferral,77386,83.99014510999923
Count_IntegratedReferralsCoreOnlyNotAtCaseness,76773,83.32483150091711
Count_IntegratedReferralsReliableRecovery,76546,83.07845925089812
Percentage_IntegratedReferralsReliableRecovery,76546,83.07845925089812
Percentage_IntegratedReferralsRecovered,76241,82.74743045681974
Count_IntegratedReferralsRecovered,76241,82.74743045681974
InitialCaseness,76217,82.72138228941685
Percentage_Variable_withFCTandES,75493,81.93559590609635
Percentage_IntegratedReferralsCoreOnlyDeterioration,75436,81.8737315085145
Count_IntegratedReferralsCoreOnlyDeterioration,75436,81.8737315085145
Count_FinishedCourseTreatment_with_EmpSup,75340,81.76953883890293
Measure,75222,81.6414686825054
Percentage_IntegratedReferralsImprovement,74434,80.78622051944387
Count_IntegratedReferralsImprovement,74434,80.78622051944387
Count_NotAtCaseness,74297,80.63752889718572
Count_IntegratedReferralsAtCaseness,72873,79.09200429794762
Percentage_IntegratedAppointmentsFinishedCourseTreatment,72578,78.77182890695377
Mean_WaitFirstIntegratedAppointment,72578,78.77182890695377
Median_WaitFirstIntegratedAppointment,72578,78.77182890695377
Count_FinishedIntegratedReferrals,72578,78.77182890695377
Percentage_Deterioration,72510,78.69802576597891
Count_Deterioration,72510,78.69802576597891
Count_FirstIntegratedTreatment,71663,77.77874252471862
Count_FirstIntegratedContact,71279,77.36197184627241
Count_InternetEnabledTherapySessions,69701,75.64930483953243
Percentage_IntegratedReferralsCoreOnlyNoChange,67665,73.43955197152067
Count_IntegratedReferralsCoreOnlyNoChange,67665,73.43955197152067
Percentage_IntegratedAppointments,67036,72.75687291750327
Percentage_IntegratedReferralsCoreOnlyReliableRecovery,66090,71.73014098570607
Count_IntegratedReferralsCoreOnlyReliableRecovery,66090,71.73014098570607
Percentage_IntegratedReferralsCoreOnlyRecovered,65784,71.39802685131923
Count_IntegratedReferralsCoreOnlyRecovered,65784,71.39802685131923
Percentage_NoReliableChange,64509,70.01421795804075
Count_NoReliableChange,64509,70.01421795804075
Count_EndedBeforeTreatment,64080,69.5486069657141
Count_IntegratedReferralsCoreOnlyImprovement,63994,69.45526769918709
Percentage_IntegratedReferralsCoreOnlyImprovement,63994,69.45526769918709
Percentage_ReliableRecovery,62715,68.06711744467478
Count_ReliableRecovery,62715,68.06711744467478
Percentage_Recovery,62404,67.72957660874567
Count_Recovery,62404,67.72957660874567
Count_IntegratedReferralsCoreOnlyAtCaseness,62376,67.69918708010897
Median_WaitFirstAppointmentCoreOnly,61962,67.24985619240913
Count_FinishedIntegratedReferralsCoreOnly,61962,67.24985619240913
Mean_WaitFirstAppointmentCoreOnly,61962,67.24985619240913
Count_Improvement,60613,65.78573211630506
Percentage_Improvement,60613,65.78573211630506
Count_EndedAfterOneTreatment,59906,65.0183965182283
Count_AtCaseness,58955,63.98623788488881
Count_SecondTreatment,58534,63.529309615029796
Mean_ApptsFinishedCourseTreatment,57962,62.90849495859426
Percentage_Variable_withFCT,55701,60.45454052118041
Count_ReferralsReceived,54775,59.449515395552275
Count_EndedReferrals,54708,59.37679759488588
Count_FinishedCourseTreatment,54555,59.210740527692465
Count_AccessingServices,53686,58.26757979964617
VariableB,42785,46.436285097192226
VariableA,1393,1.511879049676026
VariableType,995,1.079913606911447
OrgType,0,0.0
OrgCode,0,0.0
OrgName,0,0.0
